draw_date,num1,num2,num3,num4,num5,special
2016-03-28,2,3,20,41,42,
2016-03-29,7,11,14,26,32,
2016-03-30,10,22,25,35,41,
2016-03-31,8,11,26,29,35,
2016-04-01,9,11,18,38,40,
2016-04-02,10,15,17,29,40,
2016-04-03,2,8,25,29,31,
2016-04-04,4,14,18,27,37,
2016-04-05,1,16,20,24,33,
2016-04-06,3,18,19,23,41,
2016-04-07,3,15,17,21,30,
2016-04-08,3,14,23,29,34,
2016-04-09,8,20,21,33,37,
2016-04-10,9,10,20,21,29,
2016-04-11,5,14,31,33,37,
2016-04-12,11,14,23,25,41,
2016-04-13,14,16,35,39,40,
2016-04-14,3,26,36,37,39,
2016-04-15,7,11,14,27,42,
2016-04-16,15,16,21,23,25,
2016-04-17,2,19,28,29,40,
2016-04-18,6,8,16,17,20,
2016-04-19,3,11,26,36,37,
2016-04-20,8,18,24,25,26,
2016-04-21,1,20,29,37,38,
2016-04-22,9,11,34,36,38,
2016-04-23,10,26,30,40,41,
2016-04-24,16,20,22,29,36,
2016-04-25,9,12,15,25,37,
2016-04-26,4,29,37,39,41,
2016-04-27,10,19,22,38,41,
2016-04-28,5,10,29,39,40,
2016-04-29,3,12,17,23,34,
2016-04-30,8,30,31,35,37,
2016-05-01,21,30,31,34,42,
2016-05-02,1,11,12,22,32,
2016-05-03,16,18,32,41,42,
2016-05-04,4,9,10,28,35,
2016-05-05,14,17,27,33,35,
2016-05-06,3,7,12,28,41,
2016-05-07,9,21,24,37,40,
2016-05-08,1,2,15,23,41,
2016-05-09,19,24,25,36,37,
2016-05-10,19,29,31,35,37,
2016-05-11,11,30,31,34,38,
2016-05-12,23,26,29,33,35,
2016-05-13,9,16,19,23,26,
2016-05-14,3,5,21,25,36,
2016-05-15,1,19,22,26,38,
2016-05-16,17,21,30,34,35,
2016-05-17,7,34,37,38,39,
2016-05-18,2,7,12,15,26,
2016-05-19,2,4,13,14,25,
2016-05-20,20,21,22,28,40,
2016-05-21,3,18,22,27,42,
2016-05-22,2,21,27,31,40,
2016-05-23,7,15,17,18,19,
2016-05-24,4,8,16,30,33,
2016-05-25,3,22,23,34,36,
2016-05-26,18,21,24,29,42,
2016-05-27,13,25,33,39,42,
2016-05-28,6,13,14,23,36,
2016-05-29,1,16,17,20,38,
2016-05-30,1,3,7,24,27,
2016-05-31,4,16,27,30,34,
2016-06-01,6,8,13,15,31,
2016-06-02,2,8,18,22,32,
2016-06-03,23,30,35,36,39,
2016-06-04,12,21,22,29,32,
2016-06-05,2,21,30,34,37,
2016-06-06,9,12,28,33,36,
2016-06-07,6,7,33,36,39,
2016-06-08,20,29,31,33,42,
2016-06-09,2,8,15,19,42,
2016-06-10,5,14,16,29,34,
2016-06-11,27,29,34,36,40,
2016-06-12,4,9,21,22,30,
2016-06-13,8,9,27,28,29,
2016-06-14,14,17,25,38,40,
2016-06-15,6,7,15,23,33,
2016-06-16,4,23,27,30,40,
2016-06-17,4,15,26,30,40,
2016-06-18,14,22,26,35,37,
2016-06-19,2,11,15,24,38,
2016-06-20,10,14,21,22,26,
2016-06-21,1,2,22,24,34,
2016-06-22,2,5,8,14,17,
2016-06-23,4,5,6,23,24,
2016-06-24,4,5,10,21,32,
2016-06-25,3,9,14,23,28,
2016-06-26,1,26,29,38,42,
2016-06-27,2,23,27,31,38,
2016-06-28,8,10,12,21,37,
2016-06-29,16,20,30,32,42,
2016-06-30,2,5,6,8,23,
2016-07-01,8,9,18,19,27,
2016-07-02,4,13,14,30,31,
2016-07-03,9,12,21,36,39,
2016-07-04,6,19,28,29,33,
2016-07-05,5,14,17,24,42,
2016-07-06,8,18,24,27,39,
2016-07-07,13,15,23,36,41,
2016-07-08,16,19,21,34,37,
2016-07-09,9,19,21,23,27,
2016-07-10,16,20,29,36,41,
2016-07-11,7,8,9,20,24,
2016-07-12,3,14,26,34,41,
2016-07-13,1,4,11,38,40,
2016-07-14,11,24,33,37,38,
2016-07-15,17,19,20,25,40,
2016-07-16,6,9,20,29,35,
2016-07-17,4,9,10,11,26,
2016-07-18,1,4,10,25,41,
2016-07-19,10,12,25,32,33,
2016-07-20,2,11,13,20,25,
2016-07-21,17,30,31,35,40,
2016-07-22,2,8,14,24,34,
2016-07-23,6,18,25,28,31,
2016-07-24,6,9,27,32,38,
2016-07-25,1,4,20,23,29,
2016-07-26,2,27,31,33,36,
2016-07-27,13,19,24,27,30,
